name,coordinate
玉山,23.4706N120.9489E
雪山,24.3856N121.2231E
玉山東峰,23.4725N120.9575E
玉山北峰,23.4917N120.9514E
玉山南峰,23.4481N120.9506E
秀姑巒山,23.4981N121.0506E
馬博拉斯山,23.5222N121.0594E
東小南山,23.4406N120.9553E
南湖大山,24.3636N121.4289E
中央尖山,24.3286N121.4078E
雪山北峰,24.4172N121.2319E
關山,23.2306N120.9033E
大水窟山,23.4756N121.0306E
南湖大山東峰,24.3678N121.4425E
東郡大山,23.6281N121.0842E
奇萊主山北峰,24.1217N121.3283E
向陽山,23.2864N120.9844E
大劍山,24.3425N121.1922E
雲峰,23.3556N120.9678E
奇萊主峰,24.0878N121.3150E
馬利加南山,23.5331N121.1103E
南湖北山,24.3858N121.4286E
大雪山,24.3325N121.1128E
品田山,24.4300N121.2589E
頭鷹山,24.3619N121.1322E
三叉山,23.2994N121.0206E
大霸尖山,24.4611N121.2497E
東巒大山,23.6500N121.0736E
玉山西峰,23.4739N120.9258E
南湖大山南峰,24.3494N121.4267E
無明山,24.2575N121.3786E
小霸尖山,24.4556N121.2431E
馬西山,23.4847N121.1661E
合歡山北峰,24.1831N121.2733E
合歡山東峰,24.1378N121.2731E
合歡山,24.1450N121.2631E
南玉山,23.4314N120.9169E
南大水窟山,23.4517N121.0417E
畢祿山,24.2153N121.3392E
巴巴山,24.3450N121.4300E
奇萊主山南峰,24.0639N121.2717E
能高山南峰,23.9672N121.2683E
卓社大山,23.8361N121.1044E
白姑大山,24.2047N121.1008E
南雙頭山,23.3525N121.0111E
新康山,23.3194N121.1194E
桃山,24.4342N121.2967E
佳陽山,24.3089N121.1797E
火石山,24.3842N121.1694E
池有山,24.4325N121.2800E
伊澤山,24.4719N121.2356E
卑南主山,23.0533N120.8664E
志佳陽大山,24.3617N121.2406E
干卓萬山,23.8778N121.1308E
太魯閣大山,24.0814N121.4156E
鈴鳴山,24.2458N121.3431E
轆轆山,23.3931N120.9906E
喀西帕南山,23.4669N121.1783E
郡大山,23.5906N120.9486E
能高山主峰,23.9939N121.2519E
丹大山,23.6022N121.2056E
萬東山西峰,23.8536N121.1772E
劍山,24.2981N121.1606E
屏風山,24.1517N121.3347E
小關山,23.1533N120.8683E
八通關山,23.4922N121.0017E
牧山,23.8647N121.1522E
玉山前峰,23.4772N120.9103E
石門山,24.1550N121.2792E
塔關山,23.2544N120.9331E
無雙山,23.5942N121.0494E
馬比杉山,24.3503N121.4781E
雪山東峰,24.3911N121.2633E
能高北峰,24.0414N121.2778E
義西請馬至山,23.5883N121.1450E
關山嶺山,23.2731N120.9511E
海諾南山,23.1886N120.9033E
中雪山,24.3547N121.0694E
內嶺爾山,23.5808N121.1858E
閂山,24.2603N121.3017E
甘薯峰,24.2922N121.3811E
合歡山西峰,24.1794N121.2364E
審馬陣山,24.3825N121.4092E
達芬尖山,23.4372N121.0050E
喀拉業山,24.4519N121.3131E
庫哈諾辛山,23.2650N120.8900E
加利山,24.4603N121.2078E
駒盆山,23.5500N121.0256E
白石山,23.9094N121.2667E
六順山,23.7247N121.2303E
磐石山,24.1072N121.3800E
帕托魯山,24.1017N121.4583E
大武山,22.6292N120.7519E
巒大山,23.6953N120.9392E
塔芬山,23.4075N121.0192E
立霧主山,24.1264N121.4378E
安東軍山,23.8739N121.2578E
光頭山,23.9397N121.2628E
鹿山,23.4522N120.9803E
布拉克桑山,23.2350N121.0711E
羊頭山,24.2100N121.3714E
